Survived,Fare,Family,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,7.25,1,0,1,0,0,1,0,0,1
1,71.2833,1,1,0,1,0,0,1,0,0
1,7.925,0,1,0,0,0,1,0,0,1
1,53.1,1,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,8.4583,0,0,1,0,1,0,0,0,1
0,51.8625,0,0,1,0,0,1,1,0,0
0,21.075,4,0,1,0,0,1,0,0,1
1,11.1333,2,1,0,0,0,1,0,0,1
1,30.0708,1,1,0,1,0,0,0,1,0
1,16.7,2,1,0,0,0,1,0,0,1
1,26.55,0,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,31.275,6,0,1,0,0,1,0,0,1
0,7.8542,0,1,0,0,0,1,0,0,1
1,16.0,0,1,0,0,0,1,0,1,0
0,29.125,5,0,1,0,1,0,0,0,1
1,13.0,0,0,1,0,0,1,0,1,0
0,18.0,1,1,0,0,0,1,0,0,1
1,7.225,0,1,0,1,0,0,0,0,1
0,26.0,0,0,1,0,0,1,0,1,0
1,13.0,0,0,1,0,0,1,0,1,0
1,8.0292,0,1,0,0,1,0,0,0,1
1,35.5,0,0,1,0,0,1,1,0,0
0,21.075,4,1,0,0,0,1,0,0,1
1,31.3875,6,1,0,0,0,1,0,0,1
0,7.225,0,0,1,1,0,0,0,0,1
0,263.0,5,0,1,0,0,1,1,0,0
1,7.8792,0,1,0,0,1,0,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,27.7208,0,0,1,1,0,0,1,0,0
1,146.5208,1,1,0,1,0,0,1,0,0
1,7.75,0,1,0,0,1,0,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,82.1708,1,0,1,1,0,0,1,0,0
0,52.0,1,0,1,0,0,1,1,0,0
1,7.2292,0,0,1,1,0,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,18.0,2,1,0,0,0,1,0,0,1
1,11.2417,1,1,0,1,0,0,0,0,1
0,9.475,1,1,0,0,0,1,0,0,1
0,21.0,1,1,0,0,0,1,0,1,0
0,7.8958,0,0,1,1,0,0,0,0,1
1,41.5792,3,1,0,1,0,0,0,1,0
1,7.8792,0,1,0,0,1,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,15.5,1,0,1,0,1,0,0,0,1
1,7.75,0,1,0,0,1,0,0,0,1
0,21.6792,2,0,1,1,0,0,0,0,1
0,17.8,1,1,0,0,0,1,0,0,1
0,39.6875,5,0,1,0,0,1,0,0,1
0,7.8,0,0,1,0,0,1,0,0,1
1,76.7292,1,1,0,1,0,0,1,0,0
1,26.0,1,1,0,0,0,1,0,1,0
0,61.9792,1,0,1,1,0,0,1,0,0
1,35.5,0,0,1,0,0,1,1,0,0
1,10.5,0,1,0,0,0,1,0,1,0
0,7.2292,0,0,1,1,0,0,0,0,1
1,27.75,3,1,0,0,0,1,0,1,0
0,46.9,7,0,1,0,0,1,0,0,1
0,7.2292,0,0,1,1,0,0,0,0,1
1,80.0,0,1,0,0,0,1,1,0,0
0,83.475,1,0,1,0,0,1,1,0,0
0,27.9,5,0,1,0,0,1,0,0,1
0,27.7208,0,0,1,1,0,0,1,0,0
1,15.2458,2,0,1,1,0,0,0,0,1
1,10.5,0,1,0,0,0,1,0,1,0
0,8.1583,0,0,1,0,0,1,0,0,1
1,7.925,6,1,0,0,0,1,0,0,1
0,8.6625,2,0,1,0,0,1,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,46.9,7,1,0,0,0,1,0,0,1
0,73.5,0,0,1,0,0,1,0,1,0
0,14.4542,1,0,1,1,0,0,0,0,1
1,56.4958,0,0,1,0,0,1,0,0,1
0,7.65,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
1,29.0,2,0,1,0,0,1,0,1,0
1,12.475,0,1,0,0,0,1,0,0,1
0,9.0,0,0,1,0,0,1,0,0,1
1,9.5,0,0,1,0,0,1,0,0,1
1,7.7875,0,1,0,0,1,0,0,0,1
0,47.1,0,0,1,0,0,1,1,0,0
1,10.5,0,1,0,0,0,1,0,1,0
1,15.85,3,1,0,0,0,1,0,0,1
0,34.375,4,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
1,263.0,5,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,7.8542,0,0,1,0,0,1,0,0,1
0,61.175,1,0,1,0,0,1,1,0,0
0,20.575,3,0,1,0,0,1,0,0,1
0,7.25,0,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,34.6542,0,0,1,1,0,0,1,0,0
1,63.3583,1,0,1,1,0,0,1,0,0
1,23.0,1,1,0,0,0,1,0,1,0
0,26.0,1,0,1,0,0,1,0,1,0
0,7.8958,0,1,0,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,77.2875,1,0,1,0,0,1,1,0,0
0,8.6542,0,0,1,0,0,1,0,0,1
0,7.925,2,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,7.65,0,1,0,0,0,1,0,0,1
1,7.775,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,24.15,1,1,0,0,1,0,0,0,1
0,52.0,0,0,1,0,0,1,1,0,0
0,14.4542,1,1,0,1,0,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,9.825,1,1,0,0,0,1,0,0,1
0,14.4583,0,1,0,1,0,0,0,0,1
0,7.925,0,0,1,0,0,1,0,0,1
0,7.75,0,0,1,0,1,0,0,0,1
0,21.0,1,0,1,0,0,1,0,1,0
0,247.5208,1,0,1,1,0,0,1,0,0
0,31.275,6,1,0,0,0,1,0,0,1
0,73.5,2,0,1,0,0,1,0,1,0
0,8.05,0,0,1,0,0,1,0,0,1
0,30.0708,1,0,1,1,0,0,0,1,0
1,13.0,0,1,0,0,0,1,0,1,0
0,77.2875,1,0,1,0,0,1,1,0,0
1,11.2417,1,0,1,1,0,0,0,0,1
0,7.75,0,0,1,0,1,0,0,0,1
1,7.1417,0,0,1,0,0,1,0,0,1
1,22.3583,2,1,0,1,0,0,0,0,1
0,6.975,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,1,0,0,0,0,1
0,7.05,0,0,1,0,0,1,0,0,1
0,14.5,1,1,0,0,0,1,0,0,1
1,26.0,1,1,0,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
0,15.0458,0,0,1,1,0,0,0,1,0
1,26.2833,2,1,0,0,0,1,1,0,0
0,53.1,1,0,1,0,0,1,1,0,0
0,9.2167,0,0,1,0,0,1,0,0,1
0,79.2,0,0,1,1,0,0,1,0,0
0,15.2458,2,1,0,1,0,0,0,0,1
1,7.75,0,1,0,0,0,1,0,0,1
1,15.85,1,1,0,0,0,1,0,0,1
0,6.75,0,0,1,0,1,0,0,0,1
0,11.5,0,0,1,0,0,1,0,1,0
0,36.75,2,0,1,0,0,1,0,1,0
1,7.7958,0,0,1,0,0,1,0,0,1
0,34.375,4,1,0,0,0,1,0,0,1
0,26.0,2,0,1,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
0,12.525,0,0,1,0,0,1,0,1,0
1,66.6,1,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,14.5,2,0,1,0,0,1,0,0,1
0,7.3125,0,0,1,0,0,1,0,0,1
0,61.3792,1,0,1,1,0,0,1,0,0
1,7.7333,0,1,0,0,1,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,8.6625,0,0,1,0,0,1,0,0,1
0,69.55,10,0,1,0,0,1,0,0,1
0,16.1,1,0,1,0,0,1,0,0,1
1,15.75,0,1,0,0,0,1,0,1,0
0,7.775,0,0,1,0,0,1,0,0,1
0,8.6625,0,0,1,0,0,1,0,0,1
0,39.6875,5,0,1,0,0,1,0,0,1
1,20.525,2,0,1,0,0,1,0,0,1
1,55.0,1,1,0,0,0,1,1,0,0
0,27.9,5,1,0,0,0,1,0,0,1
0,25.925,0,0,1,0,0,1,1,0,0
0,56.4958,0,0,1,0,0,1,0,0,1
0,33.5,0,0,1,0,0,1,1,0,0
0,29.125,5,0,1,0,1,0,0,0,1
1,11.1333,2,1,0,0,0,1,0,0,1
0,7.925,0,0,1,0,0,1,0,0,1
0,30.6958,0,0,1,1,0,0,1,0,0
0,7.8542,2,0,1,0,0,1,0,0,1
0,25.4667,4,0,1,0,0,1,0,0,1
0,28.7125,0,1,0,1,0,0,1,0,0
0,13.0,0,0,1,0,0,1,0,1,0
0,0.0,0,0,1,0,0,1,0,0,1
0,69.55,10,1,0,0,0,1,0,0,1
0,15.05,0,0,1,1,0,0,0,1,0
0,31.3875,6,0,1,0,0,1,0,0,1
1,39.0,3,0,1,0,0,1,0,1,0
1,22.025,2,1,0,0,0,1,0,0,1
0,50.0,0,0,1,0,0,1,1,0,0
1,15.5,1,1,0,0,1,0,0,0,1
1,26.55,0,0,1,0,0,1,1,0,0
0,15.5,2,0,1,0,1,0,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,13.0,0,1,0,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
1,7.8542,1,1,0,0,0,1,0,0,1
1,26.0,2,0,1,0,0,1,0,1,0
1,27.7208,0,1,0,1,0,0,1,0,0
1,146.5208,0,1,0,1,0,0,1,0,0
0,7.75,0,0,1,0,1,0,0,0,1
0,8.4042,1,0,1,0,0,1,0,0,1
1,7.75,0,1,0,0,1,0,0,0,1
0,13.0,0,1,0,0,0,1,0,1,0
0,9.5,0,0,1,0,0,1,0,0,1
0,69.55,10,0,1,0,0,1,0,0,1
0,6.4958,0,0,1,0,0,1,0,0,1
0,7.225,0,0,1,1,0,0,0,0,1
1,8.05,0,0,1,0,0,1,0,0,1
0,10.4625,1,1,0,0,0,1,0,0,1
0,15.85,1,0,1,0,0,1,0,0,1
1,18.7875,0,0,1,1,0,0,0,0,1
1,7.75,0,1,0,0,1,0,0,0,1
1,31.0,0,0,1,1,0,0,1,0,0
0,7.05,0,0,1,0,0,1,0,0,1
1,21.0,0,1,0,0,0,1,0,1,0
0,7.25,0,0,1,0,0,1,0,0,1
0,13.0,0,0,1,0,0,1,0,1,0
0,7.75,1,0,1,0,1,0,0,0,1
1,113.275,1,1,0,1,0,0,1,0,0
1,7.925,0,1,0,0,0,1,0,0,1
0,27.0,1,0,1,0,0,1,0,1,0
1,76.2917,0,1,0,1,0,0,1,0,0
0,10.5,0,0,1,0,0,1,0,1,0
1,8.05,0,0,1,0,0,1,0,0,1
0,13.0,0,0,1,0,0,1,0,1,0
0,8.05,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,90.0,1,0,1,0,0,1,1,0,0
0,9.35,0,0,1,0,0,1,0,0,1
1,10.5,0,0,1,0,0,1,0,1,0
0,7.25,0,0,1,0,0,1,0,0,1
0,13.0,0,0,1,0,0,1,0,1,0
0,25.4667,4,1,0,0,0,1,0,0,1
1,83.475,1,1,0,0,0,1,1,0,0
0,7.775,0,0,1,0,0,1,0,0,1
0,13.5,0,0,1,0,0,1,0,1,0
1,31.3875,6,1,0,0,0,1,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,7.55,0,1,0,0,0,1,0,0,1
0,26.0,1,0,1,0,0,1,0,1,0
1,26.25,2,1,0,0,0,1,0,1,0
0,10.5,0,0,1,0,0,1,0,1,0
0,12.275,0,0,1,0,0,1,0,1,0
0,14.4542,1,1,0,1,0,0,0,0,1
1,15.5,1,1,0,0,1,0,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,7.125,0,0,1,0,0,1,0,0,1
0,7.225,0,0,1,1,0,0,0,0,1
0,90.0,2,0,1,0,1,0,1,0,0
0,7.775,0,1,0,0,0,1,0,0,1
1,14.5,2,1,0,0,0,1,0,1,0
1,52.5542,2,0,1,0,0,1,1,0,0
0,26.0,1,0,1,0,0,1,0,1,0
0,7.25,0,0,1,0,0,1,0,0,1
0,10.4625,2,1,0,0,0,1,0,0,1
0,26.55,0,0,1,0,0,1,1,0,0
0,16.1,1,0,1,0,0,1,0,0,1
0,20.2125,2,1,0,0,0,1,0,0,1
1,15.2458,2,1,0,1,0,0,0,0,1
1,79.2,0,1,0,1,0,0,1,0,0
1,86.5,0,1,0,0,0,1,1,0,0
1,512.3292,0,1,0,1,0,0,1,0,0
1,26.0,1,1,0,0,0,1,0,1,0
0,7.75,0,0,1,0,1,0,0,0,1
1,31.3875,6,0,1,0,0,1,0,0,1
0,79.65,2,0,1,0,0,1,1,0,0
0,0.0,0,0,1,0,0,1,1,0,0
0,7.75,0,1,0,0,1,0,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,39.6875,5,0,1,0,0,1,0,0,1
1,7.775,1,0,1,0,0,1,0,0,1
1,153.4625,1,1,0,0,0,1,1,0,0
1,135.6333,0,1,0,0,0,1,1,0,0
0,31.0,0,0,1,0,0,1,1,0,0
1,0.0,0,0,1,0,0,1,0,0,1
1,19.5,1,1,0,0,0,1,0,1,0
0,29.7,1,0,1,1,0,0,1,0,0
1,7.75,0,1,0,0,1,0,0,0,1
1,77.9583,1,1,0,0,0,1,1,0,0
0,7.75,0,1,0,0,0,1,0,0,1
0,0.0,0,0,1,0,0,1,0,1,0
0,29.125,5,0,1,0,1,0,0,0,1
1,20.25,2,1,0,0,0,1,0,0,1
0,7.75,0,0,1,0,1,0,0,0,1
0,7.8542,0,0,1,0,0,1,0,0,1
0,9.5,0,0,1,0,0,1,0,0,1
1,8.05,0,0,1,0,0,1,0,0,1
0,26.0,0,0,1,0,0,1,1,0,0
0,8.6625,0,0,1,1,0,0,0,0,1
1,9.5,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,13.0,0,0,1,0,0,1,0,1,0
1,7.75,0,1,0,0,1,0,0,0,1
1,78.85,0,1,0,0,0,1,1,0,0
1,91.0792,1,1,0,1,0,0,1,0,0
0,12.875,0,0,1,1,0,0,0,1,0
0,8.85,0,1,0,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,27.7208,0,0,1,1,0,0,1,0,0
0,7.2292,0,0,1,1,0,0,0,0,1
0,151.55,3,1,0,0,0,1,1,0,0
1,30.5,0,0,1,0,0,1,1,0,0
1,247.5208,1,1,0,1,0,0,1,0,0
1,7.75,0,1,0,0,1,0,0,0,1
1,23.25,2,0,1,0,1,0,0,0,1
0,0.0,0,0,1,0,0,1,0,0,1
1,12.35,0,1,0,0,1,0,0,1,0
0,8.05,0,0,1,0,0,1,0,0,1
1,151.55,3,0,1,0,0,1,1,0,0
1,110.8833,0,1,0,1,0,0,1,0,0
1,108.9,1,1,0,1,0,0,1,0,0
0,24.0,1,0,1,1,0,0,0,1,0
1,56.9292,0,1,0,1,0,0,1,0,0
1,83.1583,0,1,0,1,0,0,1,0,0
1,262.375,4,1,0,1,0,0,1,0,0
0,26.0,2,1,0,0,0,1,0,1,0
0,7.8958,0,0,1,0,0,1,0,0,1
0,26.25,2,0,1,0,0,1,0,1,0
1,7.8542,0,1,0,0,0,1,0,0,1
1,26.0,1,1,0,0,0,1,0,1,0
0,14.0,0,0,1,0,0,1,0,1,0
1,164.8667,2,1,0,0,0,1,1,0,0
1,134.5,2,1,0,1,0,0,1,0,0
0,7.25,0,0,1,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
1,12.35,0,1,0,0,1,0,0,1,0
1,29.0,2,1,0,0,0,1,0,1,0
0,69.55,10,0,1,0,0,1,0,0,1
1,135.6333,0,1,0,1,0,0,1,0,0
0,6.2375,0,0,1,0,0,1,0,0,1
1,13.0,0,1,0,0,0,1,0,1,0
1,20.525,2,1,0,0,0,1,0,0,1
1,57.9792,1,1,0,1,0,0,1,0,0
1,23.25,2,1,0,0,1,0,0,0,1
0,28.5,0,0,1,0,0,1,1,0,0
0,153.4625,1,0,1,0,0,1,1,0,0
0,18.0,2,0,1,0,0,1,0,0,1
1,133.65,1,1,0,0,0,1,1,0,0
0,7.8958,0,0,1,0,0,1,0,0,1
0,66.6,1,0,1,0,0,1,1,0,0
1,134.5,0,1,0,1,0,0,1,0,0
1,8.05,0,0,1,0,0,1,0,0,1
0,35.5,0,0,1,0,0,1,1,0,0
1,26.0,2,0,1,0,0,1,0,1,0
1,263.0,5,1,0,0,0,1,1,0,0
0,13.0,0,0,1,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
1,13.0,0,1,0,0,0,1,0,1,0
1,13.0,0,1,0,0,0,1,0,1,0
1,16.1,1,1,0,0,0,1,0,0,1
1,15.9,2,0,1,0,0,1,0,0,1
0,8.6625,0,0,1,0,0,1,0,0,1
0,9.225,0,0,1,0,0,1,0,0,1
0,35.0,0,0,1,0,0,1,1,0,0
0,7.2292,2,0,1,1,0,0,0,0,1
0,17.8,1,0,1,0,0,1,0,0,1
0,7.225,0,0,1,1,0,0,0,0,1
0,9.5,0,0,1,0,0,1,0,0,1
1,55.0,1,1,0,0,0,1,1,0,0
0,13.0,0,1,0,0,0,1,0,1,0
1,7.8792,0,1,0,0,1,0,0,0,1
1,7.8792,0,1,0,0,1,0,0,0,1
0,27.9,5,0,1,0,0,1,0,0,1
0,27.7208,1,0,1,1,0,0,0,1,0
0,14.4542,1,1,0,1,0,0,0,0,1
0,7.05,0,0,1,0,0,1,0,0,1
0,15.5,1,0,1,0,1,0,0,0,1
0,7.25,0,0,1,0,0,1,0,0,1
1,75.25,1,1,0,1,0,0,1,0,0
1,7.2292,0,1,0,1,0,0,0,0,1
1,7.75,0,1,0,0,1,0,0,0,1
1,69.3,0,1,0,1,0,0,1,0,0
1,55.4417,1,0,1,1,0,0,1,0,0
0,6.4958,1,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,135.6333,0,0,1,1,0,0,1,0,0
0,21.075,4,1,0,0,0,1,0,0,1
1,82.1708,1,1,0,1,0,0,1,0,0
1,7.25,0,1,0,0,0,1,0,0,1
0,211.5,2,0,1,1,0,0,1,0,0
0,4.0125,0,0,1,1,0,0,0,0,1
0,7.775,0,0,1,0,0,1,0,0,1
1,227.525,0,1,0,1,0,0,1,0,0
1,15.7417,2,1,0,1,0,0,0,0,1
0,7.925,0,0,1,0,0,1,0,0,1
1,52.0,1,1,0,0,0,1,1,0,0
0,7.8958,0,0,1,0,0,1,0,0,1
0,73.5,0,0,1,0,0,1,0,1,0
0,46.9,7,0,1,0,0,1,0,0,1
1,13.0,0,1,0,0,0,1,0,1,0
0,7.7292,0,0,1,0,1,0,0,0,1
1,12.0,0,1,0,1,0,0,0,1,0
1,120.0,3,0,1,0,0,1,1,0,0
1,7.7958,0,0,1,0,0,1,0,0,1
0,7.925,2,0,1,0,0,1,0,0,1
1,113.275,1,1,0,1,0,0,1,0,0
1,16.7,2,1,0,0,0,1,0,0,1
0,7.7958,0,0,1,0,0,1,0,0,1
0,7.8542,0,1,0,0,0,1,0,0,1
0,26.0,0,0,1,0,0,1,0,1,0
0,10.5,0,0,1,0,0,1,0,1,0
1,12.65,0,1,0,0,0,1,0,1,0
1,7.925,0,0,1,0,0,1,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,9.825,1,1,0,0,0,1,0,0,1
0,15.85,1,0,1,0,0,1,0,0,1
0,8.6625,0,1,0,0,0,1,0,0,1
0,21.0,1,0,1,0,0,1,0,1,0
0,7.75,0,0,1,0,0,1,0,0,1
1,18.75,2,0,1,0,0,1,0,1,0
0,7.775,0,0,1,0,0,1,0,0,1
0,25.4667,4,1,0,0,0,1,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,6.8583,0,0,1,0,1,0,0,0,1
1,90.0,1,1,0,0,1,0,1,0,0
0,0.0,0,0,1,0,0,1,0,1,0
1,7.925,0,0,1,0,0,1,0,0,1
0,8.05,0,1,0,0,0,1,0,0,1
1,32.5,2,1,0,0,0,1,0,1,0
1,13.0,2,1,0,0,0,1,0,1,0
0,13.0,0,0,1,0,0,1,0,1,0
0,24.15,2,1,0,0,0,1,0,0,1
0,7.8958,0,0,1,1,0,0,0,0,1
0,7.7333,0,0,1,0,1,0,0,0,1
0,7.875,0,0,1,0,0,1,0,0,1
0,14.4,2,1,0,0,0,1,0,0,1
0,20.2125,2,0,1,0,0,1,0,0,1
0,7.25,0,0,1,0,0,1,0,0,1
1,26.0,1,1,0,0,0,1,0,1,0
1,26.0,0,1,0,0,0,1,0,1,0
0,7.75,0,0,1,0,1,0,0,0,1
1,8.05,0,0,1,0,0,1,0,0,1
1,26.55,0,0,1,0,0,1,1,0,0
1,16.1,1,1,0,0,0,1,0,0,1
1,26.0,1,1,0,0,0,1,0,1,0
0,7.125,0,0,1,0,0,1,0,0,1
0,55.9,1,0,1,0,0,1,1,0,0
1,120.0,3,1,0,0,0,1,1,0,0
0,34.375,4,1,0,0,0,1,0,0,1
1,18.75,5,1,0,0,0,1,0,1,0
0,263.0,5,0,1,0,0,1,1,0,0
0,10.5,0,0,1,0,0,1,0,1,0
1,26.25,2,1,0,0,0,1,0,1,0
0,9.5,0,0,1,0,0,1,0,0,1
0,7.775,1,0,1,0,0,1,0,0,1
1,13.0,0,1,0,0,0,1,0,1,0
